# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	R11B	00	VHZ	2017-03-20 19:45:00	2599-12-31 23:59:59	38.3489	-115.5854	1767	1
TA	R16K	00	VHZ	2016-06-08 00:00:00	2599-12-31 23:59:59	57.5673	-157.5742	38	2
TA	R17K	00	VHZ	2016-06-06 00:00:00	2599-12-31 23:59:59	57.6397	-156.3872	273	2
TA	R18K	00	VHZ	2017-04-26 00:00:00	2599-12-31 23:59:59	57.5665	-154.4524	39	2
TA	R31K	00	VHZ	2016-08-23 00:00:00	2599-12-31 23:59:59	58.4133	-135.7398	15	2
TA	R32K	00	VHZ	2016-08-21 00:00:00	2599-12-31 23:59:59	58.2747	-134.5181	386	2
TA	R33M	00	VHZ	2016-07-21 00:00:00	2599-12-31 23:59:59	59.3946	-130.9673	1437	3
TA	S12K	00	VHZ	2016-06-11 00:00:00	2599-12-31 23:59:59	55.703	-162.061	411	2
TA	S14K	00	VHZ	2016-06-13 00:00:00	2599-12-31 23:59:59	56.2848	-159.5532	1059	2
TA	S22A	00	VHZ	2008-06-15 00:00:00	2599-12-31 23:59:59	37.7461	-106.8293	2626	0
TA	S31K	00	VHZ	2016-09-21 00:00:00	2599-12-31 23:59:59	57.9616	-136.232	34	2
TA	S32K	00	VHZ	2016-09-09 00:00:00	2599-12-31 23:59:59	57.4688	-134.5763	26	2
TA	S34M	00	VHZ	2016-05-05 00:00:00	2599-12-31 23:59:59	57.9128	-131.1312	298	2
TA	SFIN	00	VHZ	2008-10-09 00:00:00	2599-12-31 23:59:59	40.379	-87.0967	165	0
TA	SPMN	00	VHZ	2008-10-07 00:00:00	2599-12-31 23:59:59	45.2246	-92.8037	311	0
TA	SUSD	00	VHZ	2010-09-02 00:00:00	2599-12-31 23:59:59	44.4429	-98.9556	520	0
TA	T25A	00	VHZ	2008-05-25 00:00:00	2599-12-31 23:59:59	37.1388	-104.4108	2017	0
TA	T33K	00	VHZ	2016-08-16 00:00:00	2599-12-31 23:59:59	56.8144	-132.9524	22	2
TA	T35M	00	VHZ	2016-05-08 00:00:00	2599-12-31 23:59:59	56.9811	-130.2496	609	2
TA	TCOL	00	VHZ	2013-06-14 01:00:00	2599-12-31 23:59:59	64.8735	-147.8618	178	10
TA	TIGA	00	VHZ	2015-07-13 13:30:00	2599-12-31 23:59:59	31.4389	-83.5898	109	0
TA	TOLK	00	VHZ	2011-08-13 00:00:00	2599-12-31 23:59:59	68.6408	-149.5724	760	5
TA	TOLK	01	VHZ	2011-08-13 00:00:00	2599-12-31 23:59:59	68.6408	-149.5724	760	4
TA	TPFO	00	VHZ	2010-04-09 00:00:00	2599-12-31 23:59:59	33.606	-116.4544	1275	0
TA	TUL3	00	VHZ	2017-04-25 19:00:00	2017-06-26 14:45:00	35.9105	-95.7918	265	34
TA	TUL3	00	VHZ	2017-06-26 14:45:00	2599-12-31 23:59:59	35.9105	-95.7918	265	34
TA	U33K	00	VHZ	2016-08-20 00:00:00	2599-12-31 23:59:59	56.1146	-133.121	11	2
TA	U35K	00	VHZ	2016-08-21 00:00:00	2599-12-31 23:59:59	55.9154	-130.0257	17	2
TA	V35K	00	VHZ	2016-08-18 00:00:00	2599-12-31 23:59:59	55.3279	-131.615	64	2
TA	W18A	00	VHZ	2008-11-15 20:41:00	2599-12-31 23:59:59	35.1181	-109.7357	1750	0
TA	WHTX	00	VHZ	2015-02-09 17:00:00	2599-12-31 23:59:59	31.9913	-97.4561	190	0
TA	Y22D	00	VHZ	2010-10-06 18:00:00	2599-12-31 23:59:59	34.0739	-106.921	1436	0
TA	Y22F	00	VHZ	2016-09-17 00:00:00	2599-12-31 23:59:59	34.0741	-106.9209	1439	0
TA	Y22F	01	VHZ	2016-09-17 00:00:00	2599-12-31 23:59:59	34.0741	-106.9209	1439	0
